epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2989.72,1.6118,1.33662,1.24507,0.51679,0.52279,0.50264,0.23426,1.71798,1.62189,1.34938,0.000368253,0.000368253,0.000368253
2,5997.58,1.66737,1.4663,1.2754,0.50039,0.50513,0.47744,0.21137,1.80819,1.69719,1.37247,0.000723962,0.000723962,0.000723962
3,9008.9,1.70986,1.52046,1.30074,0.43016,0.4915,0.4375,0.19899,1.77554,1.85695,1.36718,0.00106501,0.00106501,0.00106501
4,12027.2,1.71678,1.5358,1.31215,0.50049,0.49712,0.47631,0.2109,1.78375,1.64006,1.37647,0.00104501,0.00104501,0.00104501
5,15057.4,1.68162,1.46338,1.28791,0.51358,0.5513,0.50295,0.23299,1.77533,1.51321,1.36288,0.00102301,0.00102301,0.00102301
6,18047.9,1.7004,1.49023,1.29929,0.51103,0.52931,0.50822,0.23762,1.73547,1.59075,1.33021,0.00100101,0.00100101,0.00100101
7,21028.4,1.66686,1.39456,1.27634,0.46799,0.53552,0.4951,0.22877,1.72111,1.64761,1.32242,0.000979013,0.000979013,0.000979013
8,24007.8,1.65578,1.38827,1.26416,0.54773,0.5407,0.54025,0.25824,1.69852,1.51625,1.30462,0.000957015,0.000957015,0.000957015
9,26990.1,1.64816,1.35362,1.26301,0.52909,0.54961,0.52297,0.24751,1.7167,1.57553,1.32245,0.000935018,0.000935018,0.000935018
10,29933,1.65132,1.33636,1.26094,0.58028,0.56051,0.56906,0.27427,1.70291,1.42604,1.31426,0.00091302,0.00091302,0.00091302
11,32901.4,1.64619,1.33693,1.26152,0.55838,0.56518,0.5479,0.26189,1.70126,1.41624,1.31561,0.000891022,0.000891022,0.000891022
12,35874.8,1.61766,1.28189,1.25747,0.5846,0.56558,0.57427,0.27582,1.68081,1.42936,1.30606,0.000869024,0.000869024,0.000869024
13,38821.3,1.62245,1.27875,1.24978,0.57733,0.60525,0.58134,0.2822,1.65861,1.35075,1.29692,0.000847026,0.000847026,0.000847026
14,41839.1,1.61631,1.27401,1.24241,0.59285,0.56605,0.57167,0.27432,1.69014,1.35973,1.30711,0.000825029,0.000825029,0.000825029
15,44845.8,1.59329,1.24825,1.23559,0.61727,0.59587,0.60919,0.29405,1.67867,1.33883,1.32375,0.000803031,0.000803031,0.000803031
16,47823.9,1.56439,1.21957,1.23232,0.61978,0.57755,0.58922,0.29336,1.66989,1.32619,1.29997,0.000781033,0.000781033,0.000781033
17,50819.5,1.58101,1.20352,1.22986,0.56923,0.56649,0.55401,0.27007,1.68616,1.39273,1.30321,0.000759035,0.000759035,0.000759035
18,53781.7,1.56641,1.19355,1.21953,0.63832,0.60304,0.61723,0.30765,1.63987,1.26967,1.27892,0.000737037,0.000737037,0.000737037
19,56851.4,1.56364,1.17092,1.22753,0.6195,0.60777,0.61178,0.3019,1.64998,1.3282,1.28851,0.00071504,0.00071504,0.00071504
20,59850.1,1.54316,1.15295,1.20938,0.60126,0.62171,0.61649,0.30501,1.65963,1.28991,1.29871,0.000693042,0.000693042,0.000693042
21,62862.4,1.55079,1.1522,1.21089,0.64233,0.62814,0.63375,0.32104,1.64575,1.23508,1.2775,0.000671044,0.000671044,0.000671044
22,65871.4,1.52261,1.13365,1.20771,0.64149,0.63946,0.64818,0.32215,1.64007,1.19859,1.28731,0.000649046,0.000649046,0.000649046
23,68883.1,1.52297,1.11221,1.20369,0.65186,0.63206,0.64069,0.31915,1.64327,1.21149,1.28706,0.000627048,0.000627048,0.000627048
24,71880.5,1.5154,1.08481,1.20504,0.64938,0.62328,0.63439,0.31902,1.64429,1.2345,1.28673,0.000605051,0.000605051,0.000605051
25,74997.5,1.49793,1.0564,1.19266,0.67581,0.63312,0.65154,0.33012,1.63022,1.17599,1.28328,0.000583053,0.000583053,0.000583053
26,78172.3,1.51022,1.07061,1.19561,0.65889,0.64563,0.65163,0.33113,1.63271,1.17913,1.28161,0.000561055,0.000561055,0.000561055
27,81312.2,1.49955,1.04942,1.17819,0.68307,0.64162,0.66589,0.34005,1.61685,1.15906,1.27549,0.000539057,0.000539057,0.000539057
28,84415.3,1.47796,1.02209,1.1804,0.6695,0.65082,0.66355,0.33643,1.63524,1.16814,1.27934,0.000517059,0.000517059,0.000517059
29,87520.3,1.48054,1.02391,1.17989,0.67535,0.63241,0.67029,0.33922,1.62875,1.1856,1.27699,0.000495062,0.000495062,0.000495062
30,90624.3,1.46735,1.00867,1.17439,0.66606,0.62904,0.64177,0.3236,1.64637,1.19099,1.28828,0.000473064,0.000473064,0.000473064
31,93703.8,1.45917,1.0003,1.17349,0.67631,0.64979,0.65936,0.33624,1.64324,1.1667,1.29684,0.000451066,0.000451066,0.000451066
